experiment,phase,seed,eval_protocol,eval_ar_seed_mode,train_supervision_protocol,optimizer_profile,strict_repro_mode,scenario_type,scenario_value,model,horizon,metric,value
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PatchTST,32,mae_mean,0.074081038183067
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PatchTST,32,mae_std,0.014435295306611806
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PatchTST,32,fde_mean,152886.5810546875
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PatchTST,32,fde_std,24180.5234375
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PatchTST,32,ade_mean,150819.61450195312
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PatchTST,32,ade_std,23180.0693359375
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PatchTST,64,mse_mean,0.016828957515826914
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PatchTST,64,mse_std,0.009278768637159374
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PatchTST,64,mae_mean,0.07770247620646842
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PatchTST,64,mae_std,0.015569265087833628
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PatchTST,64,fde_mean,158708.84796142578
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PatchTST,64,fde_std,26498.615173339844
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PatchTST,64,ade_mean,152959.79754638672
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PatchTST,64,ade_std,23968.675354003906
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PatchTST,128,mse_mean,0.0188865737109154
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PatchTST,128,mse_std,0.010048084212030517
exp1_sota,,,strict_autoregressive,zero,shifted_next_step,enhanced,False,,,PatchTST,128,mae_mean,0.08141196201904677
